Date (Month) H.P.I.,Property Type (H.P.I.),H.P.I.
1981-01-01,Total (House And Land),38.2
1981-02-01,Total (House And Land),38.7
1981-03-01,Total (House And Land),39.3
1981-04-01,Total (House And Land),39.9
1981-05-01,Total (House And Land),40.6
1981-06-01,Total (House And Land),40.8
1981-07-01,Total (House And Land),40.8
1981-08-01,Total (House And Land),40.6
1981-09-01,Total (House And Land),40.4
1981-10-01,Total (House And Land),40.3
1981-11-01,Total (House And Land),40.2
1981-12-01,Total (House And Land),40.3
1982-01-01,Total (House And Land),40.3
1982-02-01,Total (House And Land),40.3
1982-03-01,Total (House And Land),40.1
1982-04-01,Total (House And Land),39.9
1982-05-01,Total (House And Land),39.6
1982-06-01,Total (House And Land),39.3
1982-07-01,Total (House And Land),39.0
1982-08-01,Total (House And Land),38.8
1982-09-01,Total (House And Land),38.4
1982-10-01,Total (House And Land),38.3
1982-11-01,Total (House And Land),38.0
1982-12-01,Total (House And Land),37.9
1983-01-01,Total (House And Land),37.9
1983-02-01,Total (House And Land),37.9
1983-03-01,Total (House And Land),37.8
1983-04-01,Total (House And Land),37.8
1983-05-01,Total (House And Land),37.7
1983-06-01,Total (House And Land),37.8
1983-07-01,Total (House And Land),37.8
1983-08-01,Total (House And Land),38.0
1983-09-01,Total (House And Land),38.0
1983-10-01,Total (House And Land),37.9
1983-11-01,Total (House And Land),38.0
1983-12-01,Total (House And Land),37.9
1984-01-01,Total (House And Land),38.0
1984-02-01,Total (House And Land),38.0
1984-03-01,Total (House And Land),38.1
1984-04-01,Total (House And Land),38.2
1984-05-01,Total (House And Land),38.2
1984-06-01,Total (House And Land),38.1
1984-07-01,Total (House And Land),38.1
1984-08-01,Total (House And Land),38.0
1984-09-01,Total (House And Land),37.9
1984-10-01,Total (House And Land),37.9
1984-11-01,Total (House And Land),37.8
1984-12-01,Total (House And Land),37.9
1985-01-01,Total (House And Land),38.0
1985-02-01,Total (House And Land),38.0
1985-03-01,Total (House And Land),38.1
1985-04-01,Total (House And Land),38.1
1985-05-01,Total (House And Land),38.1
1985-06-01,Total (House And Land),38.3
1985-07-01,Total (House And Land),38.4
1985-08-01,Total (House And Land),38.5
1985-09-01,Total (House And Land),38.8
1985-10-01,Total (House And Land),38.9
1985-11-01,Total (House And Land),39.2
1985-12-01,Total (House And Land),39.3
1986-01-01,Total (House And Land),39.8
