Date (Month) R.E.P. HPI,Region (R.E.P)(inc. Aggregate) HPI,Housing Type (R.E.P.) HPI,Real Estate Price HPI
2005-01-01,Aggregate,Apartment,100.0
2005-02-01,Aggregate,Apartment,100.9
2005-03-01,Aggregate,Apartment,101.4
2005-04-01,Aggregate,Apartment,102.1
2005-05-01,Aggregate,Apartment,102.9
2005-06-01,Aggregate,Apartment,103.9
2005-07-01,Aggregate,Apartment,104.8
2005-08-01,Aggregate,Apartment,105.3
2005-09-01,Aggregate,Apartment,106.4
2005-10-01,Aggregate,Apartment,106.9
2005-11-01,Aggregate,Apartment,107.3
2005-12-01,Aggregate,Apartment,108.3
2006-01-01,Aggregate,Apartment,109.5
2006-02-01,Aggregate,Apartment,111.3
2006-03-01,Aggregate,Apartment,113.0
2006-04-01,Aggregate,Apartment,115.2
2006-05-01,Aggregate,Apartment,117.4
2006-06-01,Aggregate,Apartment,119.3
2006-07-01,Aggregate,Apartment,121.0
2006-08-01,Aggregate,Apartment,122.6
2006-09-01,Aggregate,Apartment,124.4
2006-10-01,Aggregate,Apartment,124.7
2006-11-01,Aggregate,Apartment,125.0
2006-12-01,Aggregate,Apartment,125.2
2007-01-01,Aggregate,Apartment,126.8
2007-02-01,Aggregate,Apartment,128.6
2007-03-01,Aggregate,Apartment,130.9
2007-04-01,Aggregate,Apartment,133.0
2007-05-01,Aggregate,Apartment,135.3
2007-06-01,Aggregate,Apartment,136.9
2007-07-01,Aggregate,Apartment,137.9
2007-08-01,Aggregate,Apartment,138.8
2007-09-01,Aggregate,Apartment,139.5
2007-10-01,Aggregate,Apartment,139.7
2007-11-01,Aggregate,Apartment,139.7
2007-12-01,Aggregate,Apartment,139.4
2008-01-01,Aggregate,Apartment,140.1
2008-02-01,Aggregate,Apartment,141.5
2008-03-01,Aggregate,Apartment,142.5
2008-04-01,Aggregate,Apartment,143.1
2008-05-01,Aggregate,Apartment,143.1
2008-06-01,Aggregate,Apartment,142.9
2008-07-01,Aggregate,Apartment,142.1
2008-08-01,Aggregate,Apartment,141.1
2008-09-01,Aggregate,Apartment,139.8
2008-10-01,Aggregate,Apartment,137.7
2008-11-01,Aggregate,Apartment,135.5
2008-12-01,Aggregate,Apartment,133.7
2009-01-01,Aggregate,Apartment,131.7
2009-02-01,Aggregate,Apartment,130.6
2009-03-01,Aggregate,Apartment,130.5
2009-04-01,Aggregate,Apartment,131.5
2009-05-01,Aggregate,Apartment,132.7
2009-06-01,Aggregate,Apartment,133.9
2009-07-01,Aggregate,Apartment,135.5
2009-08-01,Aggregate,Apartment,136.7
2009-09-01,Aggregate,Apartment,138.2
2009-10-01,Aggregate,Apartment,139.4
2009-11-01,Aggregate,Apartment,140.8
2009-12-01,Aggregate,Apartment,141.7
2010-01-01,Aggregate,Apartment,143.0
2010-02-01,Aggregate,Apartment,144.5
2010-03-01,Aggregate,Apartment,145.4
2010-04-01,Aggregate,Apartment,146.0
2010-05-01,Aggregate,Apartment,146.4
2010-06-01,Aggregate,Apartment,145.3
2010-07-01,Aggregate,Apartment,143.9
2010-08-01,Aggregate,Apartment,143.2
2010-09-01,Aggregate,Apartment,143.2
2010-10-01,Aggregate,Apartment,143.6
2010-11-01,Aggregate,Apartment,143.2
2010-12-01,Aggregate,Apartment,143.0
2011-01-01,Aggregate,Apartment,144.1
2011-02-01,Aggregate,Apartment,145.3
2011-03-01,Aggregate,Apartment,146.5
2011-04-01,Aggregate,Apartment,147.6
2011-05-01,Aggregate,Apartment,148.2
2011-06-01,Aggregate,Apartment,149.0
2011-07-01,Aggregate,Apartment,149.1
2011-08-01,Aggregate,Apartment,149.3
2011-09-01,Aggregate,Apartment,149.3
2011-10-01,Aggregate,Apartment,149.1
2011-11-01,Aggregate,Apartment,148.7
2011-12-01,Aggregate,Apartment,148.4
2012-01-01,Aggregate,Apartment,148.5
2012-02-01,Aggregate,Apartment,149.3
2012-03-01,Aggregate,Apartment,150.5
2012-04-01,Aggregate,Apartment,151.4
2012-05-01,Aggregate,Apartment,152.8
2012-06-01,Aggregate,Apartment,152.5
2012-07-01,Aggregate,Apartment,152.0
2012-08-01,Aggregate,Apartment,151.5
2012-09-01,Aggregate,Apartment,151.6
2012-10-01,Aggregate,Apartment,150.9
2012-11-01,Aggregate,Apartment,150.0
2012-12-01,Aggregate,Apartment,149.5
2013-01-01,Aggregate,Apartment,149.5
2013-02-01,Aggregate,Apartment,150.2
2013-03-01,Aggregate,Apartment,151.8
2013-04-01,Aggregate,Apartment,152.9
2013-05-01,Aggregate,Apartment,153.3
2013-06-01,Aggregate,Apartment,153.5
2013-07-01,Aggregate,Apartment,153.5
2013-08-01,Aggregate,Apartment,153.7
2013-09-01,Aggregate,Apartment,153.7
2013-10-01,Aggregate,Apartment,153.5
2013-11-01,Aggregate,Apartment,153.7
2013-12-01,Aggregate,Apartment,153.4
2014-01-01,Aggregate,Apartment,154.4
2014-02-01,Aggregate,Apartment,155.2
2014-03-01,Aggregate,Apartment,156.3
2014-04-01,Aggregate,Apartment,157.5
2014-05-01,Aggregate,Apartment,158.3
2014-06-01,Aggregate,Apartment,159.5
2014-07-01,Aggregate,Apartment,159.2
2014-08-01,Aggregate,Apartment,159.5
2014-09-01,Aggregate,Apartment,160.0
2014-10-01,Aggregate,Apartment,160.4
2014-11-01,Aggregate,Apartment,160.8
2014-12-01,Aggregate,Apartment,160.3
2015-01-01,Aggregate,Apartment,160.7
2015-02-01,Aggregate,Apartment,161.1
2015-03-01,Aggregate,Apartment,162.1
2015-04-01,Aggregate,Apartment,163.6
2015-05-01,Aggregate,Apartment,164.4
2015-06-01,Aggregate,Apartment,164.8
2015-07-01,Aggregate,Apartment,165.0
2015-08-01,Aggregate,Apartment,165.6
2015-09-01,Aggregate,Apartment,166.7
2015-10-01,Aggregate,Apartment,167.2
2015-11-01,Aggregate,Apartment,167.9
2015-12-01,Aggregate,Apartment,167.2
2016-01-01,Aggregate,Apartment,168.1
2016-02-01,Aggregate,Apartment,171.0
2016-03-01,Aggregate,Apartment,173.0
2016-04-01,Aggregate,Apartment,175.3
2016-05-01,Aggregate,Apartment,177.5
2016-06-01,Aggregate,Apartment,180.6
2016-07-01,Aggregate,Apartment,182.5
2016-08-01,Aggregate,Apartment,183.7
2016-09-01,Aggregate,Apartment,184.7
2016-10-01,Aggregate,Apartment,186.3
2016-11-01,Aggregate,Apartment,187.6
2016-12-01,Aggregate,Apartment,187.8
2017-01-01,Aggregate,Apartment,189.4
2017-02-01,Aggregate,Apartment,193.7
2017-03-01,Aggregate,Apartment,200.4
2017-04-01,Aggregate,Apartment,207.4
2017-05-01,Aggregate,Apartment,212.3
2017-06-01,Aggregate,Apartment,215.1
2017-07-01,Aggregate,Apartment,216.6
2017-08-01,Aggregate,Apartment,217.4
2017-09-01,Aggregate,Apartment,218.6
2017-10-01,Aggregate,Apartment,220.3
2017-11-01,Aggregate,Apartment,221.3
2017-12-01,Aggregate,Apartment,222.9
2018-01-01,Aggregate,Apartment,224.8
2018-02-01,Aggregate,Apartment,229.2
2018-03-01,Aggregate,Apartment,233.0
2018-04-01,Aggregate,Apartment,235.4
2018-05-01,Aggregate,Apartment,237.0
2018-06-01,Aggregate,Apartment,237.5
